股票代码	股票名称	研报标题	评级	机构	18年预测收益	19年预测收益	研报时间
600760	中航沈飞	飞机中的战斗机	-	东兴证券	-	-	6月11日
600104	上汽集团	公司快报：自主和合资表现上佳，销量持续超预期	买入	华金证券	3.16	3.32	6月8日
300059	东方财富	券商准入门槛提升，流量优势更加明显-政策分析（2）	买入	中泰证券	0.33	0.47	6月11日
600984	建设机械	装配式建筑景气度高，庞源业绩高增长可期	增持	方正证券	0.39	0.57	6月11日
002430	杭氧股份	重大事项点评：光伏政策调整无碍气体行业趋势，工业气体龙头多元化布局，景气持续向上	买入	华创证券	0.93	1.24	6月11日
603027	千禾味业	中高端差异化竞争优势明显，全国化布局持续推进	增持	华创证券	0.64	0.83	6月11日
600482	中国动力	资产整合稳步推进，交易完成后将进一步增厚公司业绩	买入	招商证券	0.79	0.91	6月6日
600048	保利地产	2018年5月销售点评：销售、拿地继续高增，彰显坚定扩张态度	买入	华创证券	1.72	2.18	6月8日
600104	上汽集团	2018年5月产销数据点评：大众通用高增长持续，五菱环比改善显著	买入	国信证券	3.18	3.45	6月8日
600867	通化东宝	三代胰岛素获批在即，前途一片光明	买入	长江证券	0.53	0.69	6月8日
600702	舍得酒业	集团股权转让，改制进一步深化	买入	华泰证券	1.21	2.21	6月11日
002669	康达新材	主业静待回暖，军工蓄势待发	买入	中泰证券	0.6	0.91	6月11日
002851	麦格米特	加强子公司股权控制，电力电子平台型新星冉冉升起	买入	长江证券	0.62	0.99	6月8日
002520	日发精机	MCM再接成飞大额订单，高端机床助力业绩增长	增持	中信建投	0.15	0.22	6月6日
300384	三联虹普	纺织行业EPC龙头迎来行业高增长，能制造助推公司产业升级	买入	中信建投	1.216	2.135	6月6日
600329	中新药业	资源型老字号企业，业绩和管理拐点明确	增持	国开证券	0.81	0.95	6月8日
600104	上汽集团	事项点评:自主销量延续亮眼表现 大众通用销量稳定增长	增持	信达证券	3.19	3.52	6月8日
000676	智度股份	技术驱动高成长，流量运营三位一体	-	长江证券	0.88	1.16	6月8日
000155	川化股份	立足贸易，积极拓展风电锂电	买入	中信建投	0.29	0.33	6月8日
600887	伊利股份	市场份额继续提升、迎来配置时点	买入	申万宏源	1.29	1.59	6月5日
603515	欧普照明	产品渠道筑壁垒，六年激励铸巨头	买入	中信建投	1.46	1.8	6月6日
002548	金新农	金新农：被低估的精品饲料龙头，静待价值回归	买入	太平洋	0.26	0.29	6月6日
603015	弘讯科技	首次覆盖报告：被忽视的工业4.0的践行者	买入	浙商证券	0.31	0.39	6月6日
300533	冰川网络	深度报告：冰川网络：三年打磨《远征》手游，今日把示君	买入	东兴证券	1.68	2.05	6月6日
600104	上汽集团	5月销量同比增15%超市场预期，新能源汽车首破万辆，维持买入建议	买入	申万宏源	3.26	3.48	6月8日
300628	亿联网络	深度报告：云端模式驱动，云通信龙头企业进入高速成长期	买入	广证恒生	2.99	3.66	6月8日
002585	双星新材	双星新材深度报告：BOPET膜行业拐点：向稳向好向上	买入	浙商证券	0.3	0.46	6月8日
300454	深信服	起于安全，而不止安全的“安全+云”领军企业	增持	申万宏源	1.89	2.54	6月8日
600521	华海药业	六个品种新纳入优审， 海外转报国内不断加速	买入	长江证券	0.75	0.98	6月8日
601155	新城控股	高成长 新”龙头	买入	东北证券	4.06	5.25	6月8日
600104	上汽集团	5月销量点评：合资自主领跑行业，新能源强势突破	买入	长江证券	3.27	3.57	6月8日
603528	多伦科技	深度报告：驾考系统行业龙头，2018开启增长新周期	买入	国海证券	0.24	0.32	6月5日
603313	梦百合	专注记忆棉的“追梦人”	增持	国联证券	0.63	0.76	6月5日
603518	维格娜丝	双品牌齐提振，由外延向内生增长快速切换	买入	西部证券	1.5	2.01	6月5日
